Repository 'RobMiller 210(PCRC-DU9J1489H4)', 'C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)'
====================================================================================================

2020-12-10 04:32:21.086 PM | CHANGED | C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)\KRC\R1\Program\KukaMiling\Subprogs\BaseCalib\BlockCalibration_LTest.src
2020-12-10 04:32:21.086 PM | CHANGED | C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)\KRC\R1\Program\KukaMiling\Subprogs\BaseCalib\BlockCalibration_LTest.src
2020-12-10 04:32:21.168 PM | CHANGED | C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)\KRC\R1\Program\KukaMiling\Subprogs\BaseCalib\Get3Basepoints.src
2020-12-10 04:32:21.168 PM | CHANGED | C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)\KRC\R1\Program\KukaMiling\Subprogs\BaseCalib\Get3Basepoints.src
2020-12-10 04:32:21.249 PM | CHANGED | C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)\KRC\R1\Program\KukaMiling\Subprogs\BaseCalib\getSearchPoint.src
2020-12-10 04:32:21.249 PM | CHANGED | C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)\KRC\R1\Program\KukaMiling\Subprogs\BaseCalib\getSearchPoint.src
2020-12-10 04:32:21.344 PM | CHANGED | C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)\KRC\R1\TP\Milling\R2M_ChkSpindleSpeed.src
2020-12-10 04:32:21.345 PM | CHANGED | C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)\KRC\R1\TP\Milling\R2M_ChkSpindleSpeed.src
2020-12-10 04:32:21.425 PM | CREATED | C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)\KRC\R1\Program\KukaMiling\Subprogs\BaseCalib\TestBaseCalc.src
2020-12-10 04:32:21.429 PM | CHANGED | C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)\KRC\R1\Program\KukaMiling\Subprogs\BaseCalib\TestBaseCalc.src
2020-12-10 04:32:21.429 PM | CHANGED | C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)\KRC\R1\Program\KukaMiling\Subprogs\BaseCalib\TestBaseCalc.src
2020-12-10 04:32:21.527 PM | CREATED | C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)\KRC\R1\Program\KukaMiling\Subprogs\Pdetection.src
2020-12-10 04:32:21.527 PM | CHANGED | C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)\KRC\R1\Program\KukaMiling\Subprogs\Pdetection.src
2020-12-10 04:32:21.527 PM | CHANGED | C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)\KRC\R1\Program\KukaMiling\Subprogs\Pdetection.src
2020-12-10 04:32:21.618 PM | CHANGED | C:\Users\Hugo Danielson\Documents\WorkVisual 6.0\Repositories\RobMiller 210(PCRC-DU9J1489H4)\KRC\R1\Program\KukaMiling\Subprogs
